Fecha,Departure,Arrive,Hora_Salida,Hora_LLegada,Price,Tipo,CaptureDate,Aerolinea
2023-06-06,BOG,CLO,11:30 a. m.,5:50 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-06,BOG,CLO,12:47 p. m.,3:20 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-06,BOG,CLO,12:47 p. m.,5:50 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-06,BOG,CLO,1:24 p. m.,5:50 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-06,BOG,CLO,1:44 p. m.,5:50 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-06,BOG,CLO,2:14 p. m.,5:50 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-06,BOG,CLO,3:15 p. m.,5:50 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-06,BOG,CLO,4:29 p. m.,11:28 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-06,BOG,CLO,6:44 p. m.,11:28 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-06,BOG,CLO,7:50 p. m.,11:28 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-06,BOG,CLO,9:00 p. m.,11:28 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-06,BOG,CLO,9:45 a. m.,3:20 p. m.,"409.050,00",2 paradas,2023-04-18,Latam
2023-06-06,BOG,CLO,10:30 a. m.,5:50 p. m.,"417.260,00",2 paradas,2023-04-18,Latam
2023-06-06,BOG,CLO,3:15 p. m.,11:28 p. m.,"395.720,00",2 paradas,2023-04-18,Latam
2023-06-10,BOG,CLO,5:00 a. m.,6:07 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-10,BOG,CLO,6:00 a. m.,7:07 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-10,BOG,CLO,6:44 a. m.,7:51 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-10,BOG,CLO,7:34 a. m.,8:41 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-10,BOG,CLO,9:30 a. m.,10:37 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-10,BOG,CLO,11:28 a. m.,12:32 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-10,BOG,CLO,12:14 p. m.,1:18 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-10,BOG,CLO,3:15 p. m.,4:19 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-10,BOG,CLO,4:25 p. m.,5:29 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-10,BOG,CLO,5:21 p. m.,6:28 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-10,BOG,CLO,6:57 p. m.,8:01 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-10,BOG,CLO,9:48 p. m.,10:52 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-10,BOG,CLO,11:03 p. m.,"12:07 a. m.
+1","253.040,00",Directo,2023-04-18,Latam
2023-06-10,BOG,CLO,5:15 a. m.,9:17 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-10,BOG,CLO,5:45 a. m.,9:17 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-10,BOG,CLO,6:16 a. m.,9:17 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-10,BOG,CLO,6:45 a. m.,9:17 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-10,BOG,CLO,9:45 a. m.,4:47 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-10,BOG,CLO,10:49 a. m.,4:47 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-10,BOG,CLO,1:10 p. m.,4:47 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-10,BOG,CLO,1:10 p. m.,7:53 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-10,BOG,CLO,2:46 p. m.,7:53 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-10,BOG,CLO,3:44 p. m.,7:53 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-10,BOG,CLO,4:30 p. m.,7:53 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-10,BOG,CLO,5:14 p. m.,7:53 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-10,BOG,CLO,8:04 a. m.,4:47 p. m.,"443.200,00",2 paradas,2023-04-18,Latam
2023-06-10,BOG,CLO,8:04 a. m.,7:53 p. m.,"395.720,00",2 paradas,2023-04-18,Latam
2023-06-10,BOG,CLO,9:15 a. m.,4:47 p. m.,"716.430,00",2 paradas,2023-04-18,Latam
2023-06-10,BOG,CLO,11:05 a. m.,7:53 p. m.,"417.260,00",2 paradas,2023-04-18,Latam
2023-06-12,BOG,CLO,5:15 a. m.,6:22 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-12,BOG,CLO,7:42 a. m.,8:49 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-12,BOG,CLO,8:40 a. m.,9:47 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-12,BOG,CLO,9:23 a. m.,10:27 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-12,BOG,CLO,10:45 a. m.,11:49 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-12,BOG,CLO,11:25 a. m.,12:29 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-12,BOG,CLO,3:12 p. m.,4:16 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-12,BOG,CLO,4:03 p. m.,5:07 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-12,BOG,CLO,6:24 p. m.,7:28 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-12,BOG,CLO,7:20 p. m.,8:24 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-12,BOG,CLO,8:45 p. m.,9:49 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-12,BOG,CLO,9:30 p. m.,10:34 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-06-12,BOG,CLO,9:40 a. m.,2:44 p. m.,"471.410,00",1 parada,2023-04-18,Latam
2023-06-12,BOG,CLO,3:15 p. m.,7:57 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-12,BOG,CLO,5:24 p. m.,7:57 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-06-12,BOG,CLO,9:04 a. m.,7:57 p. m.,"716.430,00",2 paradas,2023-04-18,Latam
2023-06-12,BOG,CLO,11:59 a. m.,7:57 p. m.,"606.470,00",2 paradas,2023-04-18,Latam
2023-04-19,CLO,BOG,4:16 a. m.,5:15 a. m.,"253.040,00",Directo,2023-04-18,Latam
