Fecha,Departure,Arrive,Hora_Salida,Hora_LLegada,Price,Tipo
2023-04-17,BOG,CLO,5:15 a. m.,6:22 a. m.,"589.570,00",Directo
2023-04-17,BOG,CLO,7:42 a. m.,8:49 a. m.,"466.050,00",Directo
2023-04-17,BOG,CLO,8:40 a. m.,9:47 a. m.,"345.860,00",Directo
2023-04-17,BOG,CLO,9:23 a. m.,10:27 a. m.,"269.110,00",Directo
2023-04-17,BOG,CLO,10:45 a. m.,11:49 a. m.,"253.040,00",Directo
2023-04-17,BOG,CLO,11:14 a. m.,12:18 p. m.,"253.040,00",Directo
2023-04-17,BOG,CLO,11:43 a. m.,12:47 p. m.,"253.040,00",Directo
2023-04-17,BOG,CLO,3:12 p. m.,4:16 p. m.,"253.040,00",Directo
2023-04-17,BOG,CLO,4:03 p. m.,5:07 p. m.,"253.040,00",Directo
2023-04-17,BOG,CLO,6:24 p. m.,7:28 p. m.,"253.040,00",Directo
2023-04-17,BOG,CLO,7:20 p. m.,8:24 p. m.,"253.040,00",Directo
2023-04-17,BOG,CLO,8:45 p. m.,9:49 p. m.,"253.040,00",Directo
2023-04-17,BOG,CLO,9:30 p. m.,10:34 p. m.,"253.040,00",Directo
2023-04-17,BOG,CLO,9:40 a. m.,3:44 p. m.,"1.695.320,00",1 parada
2023-04-17,BOG,CLO,3:15 p. m.,7:57 p. m.,"725.470,00",1 parada
2023-04-17,BOG,CLO,3:15 p. m.,9:47 p. m.,"423.690,00",1 parada
2023-04-17,BOG,CLO,5:24 p. m.,7:57 p. m.,"725.470,00",1 parada
2023-04-17,BOG,CLO,5:24 p. m.,9:47 p. m.,"423.690,00",1 parada
2023-04-17,BOG,CLO,7:00 p. m.,9:47 p. m.,"520.550,00",1 parada
2023-04-17,BOG,CLO,7:14 p. m.,9:47 p. m.,"330.270,00",1 parada
2023-04-17,BOG,CLO,11:59 a. m.,7:57 p. m.,"1.568.820,00",2 paradas
2023-04-17,BOG,CLO,11:59 a. m.,9:47 p. m.,"1.568.820,00",2 paradas
2023-04-17,CLO,BOG,5:26 a. m.,6:25 a. m.,"293.260,00",Directo
2023-04-17,CLO,BOG,6:21 a. m.,7:20 a. m.,"317.060,00",Directo
2023-04-17,CLO,BOG,6:54 a. m.,7:53 a. m.,"345.860,00",Directo
2023-04-17,CLO,BOG,7:30 a. m.,8:29 a. m.,"466.050,00",Directo
2023-04-17,CLO,BOG,9:45 a. m.,10:44 a. m.,"317.060,00",Directo
2023-04-17,CLO,BOG,10:59 a. m.,11:59 a. m.,"345.860,00",Directo
2023-04-17,CLO,BOG,1:06 p. m.,2:06 p. m.,"253.040,00",Directo
2023-04-17,CLO,BOG,3:45 p. m.,4:45 p. m.,"253.040,00",Directo
2023-04-17,CLO,BOG,4:16 p. m.,5:16 p. m.,"253.040,00",Directo
2023-04-17,CLO,BOG,4:59 p. m.,5:59 p. m.,"269.110,00",Directo
2023-04-17,CLO,BOG,8:30 p. m.,9:30 p. m.,"253.040,00",Directo
2023-04-17,CLO,BOG,9:02 p. m.,10:02 p. m.,"253.040,00",Directo
2023-04-17,CLO,BOG,9:55 p. m.,10:55 p. m.,"253.040,00",Directo*
2023-04-17,CLO,BOG,4:24 a. m.,7:31 a. m.,"725.470,00",1 parada
2023-04-17,CLO,BOG,4:24 a. m.,8:00 a. m.,"725.470,00",1 parada
2023-04-17,CLO,BOG,4:24 a. m.,8:29 a. m.,"725.470,00",1 parada
2023-04-17,CLO,BOG,4:24 a. m.,9:27 a. m.,"986.910,00",1 parada
2023-04-17,CLO,BOG,4:24 a. m.,10:03 a. m.,"986.910,00",1 parada
2023-04-17,CLO,BOG,5:42 a. m.,8:00 a. m.,"818.890,00",1 parada
2023-04-17,CLO,BOG,5:42 a. m.,8:29 a. m.,"818.890,00",1 parada
2023-04-17,CLO,BOG,5:42 a. m.,9:27 a. m.,"986.910,00",1 parada
2023-04-17,CLO,BOG,5:42 a. m.,10:03 a. m.,"986.910,00",1 parada
2023-04-17,CLO,BOG,5:42 a. m.,11:29 a. m.,"986.910,00",1 parada
2023-04-17,CLO,BOG,8:29 p. m.,10:56 p. m.,"423.690,00",1 parada
2023-04-17,CLO,BOG,8:29 p. m.,11:44 p. m.,"277.320,00",1 parada
2023-04-17,CLO,BOG,10:19 p. m.,"5:00 a. m.
+1","297.820,00",1 parada
2023-04-17,CLO,BOG,4:24 a. m.,9:39 a. m.,"1.573.460,00",2 paradas
